io.github.adnanomerovic:toaster-example-library;io.github.adnanomerovic;toaster-example-library
org.apache.carbondata:carbondata-examples-flink;org.apache.carbondata;carbondata-examples-flink
org.apache.carbondata:carbondata-examples;org.apache.carbondata;carbondata-examples
org.apache.carbondata:carbondata-presto;org.apache.carbondata;carbondata-presto
org.apache.carbondata:carbondata-flink-build;org.apache.carbondata;carbondata-flink-build
org.apache.carbondata:carbondata-flink;org.apache.carbondata;carbondata-flink
org.apache.carbondata:carbondata-flink-proxy;org.apache.carbondata;carbondata-flink-proxy
org.apache.carbondata:carbondata-index-examples;org.apache.carbondata;carbondata-index-examples
org.apache.carbondata:carbondata-secondary-index;org.apache.carbondata;carbondata-secondary-index
org.apache.carbondata:carbondata-spark_3.1;org.apache.carbondata;carbondata-spark_3.1
org.apache.carbondata:carbondata-streaming_3.1;org.apache.carbondata;carbondata-streaming_3.1
org.apache.carbondata:carbondata-geo;org.apache.carbondata;carbondata-geo
org.apache.carbondata:carbondata-bloom;org.apache.carbondata;carbondata-bloom
org.apache.carbondata:carbondata-lucene;org.apache.carbondata;carbondata-lucene
org.apache.carbondata:carbondata-cli;org.apache.carbondata;carbondata-cli
org.apache.carbondata:carbondata-sdk;org.apache.carbondata;carbondata-sdk
org.apache.carbondata:carbondata-hive;org.apache.carbondata;carbondata-hive
org.apache.carbondata:carbondata-mv-plan_3.1;org.apache.carbondata;carbondata-mv-plan_3.1
com.yqpkj:metax-spring-boot-starter;com.yqpkj;metax-spring-boot-starter
org.apache.carbondata:carbondata-hadoop;org.apache.carbondata;carbondata-hadoop
org.apache.carbondata:carbondata-processing;org.apache.carbondata;carbondata-processing
org.apache.carbondata:carbondata-core;org.apache.carbondata;carbondata-core
org.apache.carbondata:carbondata-common;org.apache.carbondata;carbondata-common
org.apache.carbondata:carbondata-parent;org.apache.carbondata;carbondata-parent
org.webjars:bootstrap-switch;org.webjars;bootstrap-switch
org.webjars:drawer;org.webjars;drawer
org.webjars:Eonasdan-bootstrap-datetimepicker;org.webjars;Eonasdan-bootstrap-datetimepicker
org.wso2.carbon.extension.identity.authenticator.outbound.totp:org.wso2.carbon.extension.identity.authenticator.totp.endpoint;org.wso2.carbon.extension.identity.authenticator.outbound.totp;org.wso2.carbon.extension.identity.authenticator.totp.endpoint
cn.alvince.zanpakuto:lifecycle-stdlib1.3;cn.alvince.zanpakuto;lifecycle-stdlib1.3
cn.alvince.zanpakuto:core-stdlib1.3;cn.alvince.zanpakuto;core-stdlib1.3
com.aliyun:aiearth_meteorology20220118;com.aliyun;aiearth_meteorology20220118
cn.alvince.zanpakuto:lifecycle;cn.alvince.zanpakuto;lifecycle
com.michaelpollmeier:sbt-ci-release-early-usage_2.12;com.michaelpollmeier;sbt-ci-release-early-usage_2.12
org.webjars.bowergithub.rowanwins:vue-dropzone;org.webjars.bowergithub.rowanwins;vue-dropzone
dev.vality:magista-dsl;dev.vality;magista-dsl
org.requirementsascode.being:being-test;org.requirementsascode.being;being-test
org.requirementsascode.being:being-core;org.requirementsascode.being;being-core
one.leftshift.intent-markup:intent-markup;one.leftshift.intent-markup;intent-markup
com.aliyun:aliyun-java-sdk-dysmsapi;com.aliyun;aliyun-java-sdk-dysmsapi
com.aliyun:jarvis_public20180621;com.aliyun;jarvis_public20180621
io.github.nomizodiac:epglibrary;io.github.nomizodiac;epglibrary
org.apache.carbondata:carbondata-spark_2.4;org.apache.carbondata;carbondata-spark_2.4
org.apache.carbondata:carbondata-streaming_2.4;org.apache.carbondata;carbondata-streaming_2.4
org.apache.carbondata:carbondata-mv-plan_2.4;org.apache.carbondata;carbondata-mv-plan_2.4
org.apache.carbondata:carbondata-format;org.apache.carbondata;carbondata-format
io.geewit.weixin:event-mp;io.geewit.weixin;event-mp
io.github.joecqupt.imitate:imitate-client;io.github.joecqupt.imitate;imitate-client
com.infinum.jsonhal:jsonhal-retrofit;com.infinum.jsonhal;jsonhal-retrofit
com.infinum.jsonhal:jsonhal-core;com.infinum.jsonhal;jsonhal-core
org.webjars.npm:github-com-rigelk-feed;org.webjars.npm;github-com-rigelk-feed
com.immomo.cosmos:fcodec;com.immomo.cosmos;fcodec
dev.applibgroup:guideview;dev.applibgroup;guideview
com.puntoycomalab:android-architecture-presentation;com.puntoycomalab;android-architecture-presentation
com.puntoycomalab.android:android-architecture-presentation;com.puntoycomalab.android;android-architecture-presentation
dev.applibgroup:socialconnector;dev.applibgroup;socialconnector
com.hzzxxd.sdk:zxy-data-api;com.hzzxxd.sdk;zxy-data-api
com.gitee.jacksonliao:ImageSelect;com.gitee.jacksonliao;ImageSelect
com.hzzxxd.sdk:zxy-data-subscribe;com.hzzxxd.sdk;zxy-data-subscribe
it.agilelab:gis.lib;it.agilelab;gis.lib
de.renebergelt.juitest:juitest-core;de.renebergelt.juitest;juitest-core
io.github.bodiart:utils;io.github.bodiart;utils
io.github.yangsk94:uploadPlugin;io.github.yangsk94;uploadPlugin
com.tencent.yunxiaowei.beacon:beacon-android;com.tencent.yunxiaowei.beacon;beacon-android
com.jinxiuyun:jx-core;com.jinxiuyun;jx-core
com.eygraber:android-date-input-view-coroutine-extensions;com.eygraber;android-date-input-view-coroutine-extensions
com.eygraber:android-date-input-view;com.eygraber;android-date-input-view
com.eygraber:android-date-input-compose;com.eygraber;android-date-input-compose
com.eygraber:android-date-input-common;com.eygraber;android-date-input-common
com.github.davidmoten:decrypt-maven-plugin;com.github.davidmoten;decrypt-maven-plugin
cn.deepmax:embed-redis;cn.deepmax;embed-redis
io.github.jaspercloud:react-test-v2;io.github.jaspercloud;react-test-v2
io.github.jaspercloud:react-common;io.github.jaspercloud;react-common
io.github.jaspercloud:react-rpc-v2;io.github.jaspercloud;react-rpc-v2
io.github.jaspercloud:react-test-v1;io.github.jaspercloud;react-test-v1
io.github.jaspercloud:react-rpc-v1;io.github.jaspercloud;react-rpc-v1
io.github.jaspercloud:react;io.github.jaspercloud;react
io.github.yogonza524:kim;io.github.yogonza524;kim
io.gitee.yunlongn:yunlongn-dependencies;io.gitee.yunlongn;yunlongn-dependencies
org.gtk-kt:gdk-pixbuf-native;org.gtk-kt;gdk-pixbuf-native
org.gtk-kt:glib-native;org.gtk-kt;glib-native
org.gtk-kt:gobject-native;org.gtk-kt;gobject-native
org.gtk-kt:gtk-native;org.gtk-kt;gtk-native
org.gtk-kt:pango-native;org.gtk-kt;pango-native
org.gtk-kt:gio-native;org.gtk-kt;gio-native
org.gtk-kt:ktx-native;org.gtk-kt;ktx-native
org.gtk-kt:coroutines-native;org.gtk-kt;coroutines-native
org.gtk-kt:dsl-native;org.gtk-kt;dsl-native
org.gtk-kt:gdk-pixbuf;org.gtk-kt;gdk-pixbuf
org.gtk-kt:coroutines;org.gtk-kt;coroutines
org.gtk-kt:dsl;org.gtk-kt;dsl
org.gtk-kt:gio;org.gtk-kt;gio
org.gtk-kt:glib;org.gtk-kt;glib
org.gtk-kt:gobject;org.gtk-kt;gobject
org.gtk-kt:gtk;org.gtk-kt;gtk
org.gtk-kt:ktx;org.gtk-kt;ktx
org.gtk-kt:pango;org.gtk-kt;pango
com.yxt.opensdk.library:library_baidu_player;com.yxt.opensdk.library;library_baidu_player
org.gtk-kt:cairo-native;org.gtk-kt;cairo-native
org.gtk-kt:cairo;org.gtk-kt;cairo
org.erjia:web;org.erjia;web
io.github.jaspercloud:gson-extension;io.github.jaspercloud;gson-extension
org.apache.carbondata:carbondata-spark_2.3;org.apache.carbondata;carbondata-spark_2.3
ai.platon.commons:distributed-lock-mongo;ai.platon.commons;distributed-lock-mongo
ai.platon.commons:distributed-lock-core;ai.platon.commons;distributed-lock-core
ai.platon.commons:distributed-lock-example;ai.platon.commons;distributed-lock-example
ai.platon.commons:distributed-lock;ai.platon.commons;distributed-lock
org.apache.carbondata:carbondata-streaming_2.3;org.apache.carbondata;carbondata-streaming_2.3
ai.platon.commons:distributed-lock-api;ai.platon.commons;distributed-lock-api
dev.felnull:felnull-java-library-native;dev.felnull;felnull-java-library-native
org.apache.carbondata:carbondata-mv-plan_2.3;org.apache.carbondata;carbondata-mv-plan_2.3
io.github.jaspercloud:mybatis;io.github.jaspercloud;mybatis
io.txcl:healpix;io.txcl;healpix
com.wrbug.kv:kv-runtime;com.wrbug.kv;kv-runtime
com.wrbug.kv:kv-gradle;com.wrbug.kv;kv-gradle
com.wrbug.kv:kv-compile;com.wrbug.kv;kv-compile
com.wrbug.kv:kv-annotation;com.wrbug.kv;kv-annotation
com.wrbug.kv:kv;com.wrbug.kv;kv
io.gitee.yunlongn:yunlongn-retry-schedule;io.gitee.yunlongn;yunlongn-retry-schedule
io.github.vaqxai:tcpclientserver;io.github.vaqxai;tcpclientserver
com.tunjid.tiler:tiler-native;com.tunjid.tiler;tiler-native
com.palantir.foundry-athena:foundry-athena-query-federation-connector;com.palantir.foundry-athena;foundry-athena-query-federation-connector
com.github.xuwei-k:zeroapply_2.11;com.github.xuwei-k;zeroapply_2.11
com.github.xuwei-k:zeroapply-scalaz_2.11;com.github.xuwei-k;zeroapply-scalaz_2.11
io.metaloom.utils:hash-utils;io.metaloom.utils;hash-utils
com.github.aytchell:jsonfsm;com.github.aytchell;jsonfsm
com.oroarmor:multi-item-lib;com.oroarmor;multi-item-lib
com.jamesward:gha-central-test;com.jamesward;gha-central-test
com.squareup:pollexor;com.squareup;pollexor
io.github.stas29a:feign-reactor-bom;io.github.stas29a;feign-reactor-bom
com.intel.pmem:llpl;com.intel.pmem;llpl
com.github.nfalco79:ext-config-files-plugin;com.github.nfalco79;ext-config-files-plugin
me.soknight:papermc-site-api;me.soknight;papermc-site-api
de.d-coding:json-toolkit-text;de.d-coding;json-toolkit-text
com.mbiamont:foreground-bottomsheet;com.mbiamont;foreground-bottomsheet
ai.lum:odinson-core_2.12;ai.lum;odinson-core_2.12
ai.lum:odinson_2.12;ai.lum;odinson_2.12
ai.lum:odinson-extra_2.12;ai.lum;odinson-extra_2.12
io.github.minze25:scala-mediator_2.13;io.github.minze25;scala-mediator_2.13
com.yahoo.vespa:zookeeper-server-3.6.3;com.yahoo.vespa;zookeeper-server-3.6.3
com.facebook.spectrum:spectrum-webp;com.facebook.spectrum;spectrum-webp
com.facebook.spectrum:spectrum-png;com.facebook.spectrum;spectrum-png
com.facebook.spectrum:spectrum-jpeg;com.facebook.spectrum;spectrum-jpeg
com.facebook.spectrum:spectrum-default;com.facebook.spectrum;spectrum-default
com.facebook.spectrum:spectrum-fbjni;com.facebook.spectrum;spectrum-fbjni
com.facebook.spectrum:spectrum-core;com.facebook.spectrum;spectrum-core
com.github.mvv.sager:sager-zio-interop-cats_2.12;com.github.mvv.sager;sager-zio-interop-cats_2.12
com.github.mvv.sager:sager-zio_2.12;com.github.mvv.sager;sager-zio_2.12
com.github.mvv.sager:sager_2.12;com.github.mvv.sager;sager_2.12
org.apache.camel.k:camel-k-kamelet-reify-deployment;org.apache.camel.k;camel-k-kamelet-reify-deployment
org.apache.camel.k:camel-k-kamelet-reify;org.apache.camel.k;camel-k-kamelet-reify
org.apache.camel.k:camel-k-kamelet-reify-parent;org.apache.camel.k;camel-k-kamelet-reify-parent
com.peterfranza:PropertyTranslator;com.peterfranza;PropertyTranslator
io.zahori:eureka-server;io.zahori;eureka-server
com.shopify.testify:testify-compose;com.shopify.testify;testify-compose
com.shopify.testify:plugin;com.shopify.testify;plugin
com.shopify.testify:testify;com.shopify.testify;testify
com.github.kirich1409:android-notification-dsl-media;com.github.kirich1409;android-notification-dsl-media
com.github.kirich1409:android-notification-dsl-extensions;com.github.kirich1409;android-notification-dsl-extensions
com.github.kirich1409:android-notification-dsl-core;com.github.kirich1409;android-notification-dsl-core
com.redstoneblocks.java:Swing-MVC;com.redstoneblocks.java;Swing-MVC
cn.huermao:hio;cn.huermao;hio
uk.num:json-to-modl-java-library;uk.num;json-to-modl-java-library
de.fraunhofer.sit.sse.vusc:java-api-client;de.fraunhofer.sit.sse.vusc;java-api-client
io.github.crac.io.micronaut:micronaut-websocket;io.github.crac.io.micronaut;micronaut-websocket
br.com.objectos.oss-java17:objectos-git;br.com.objectos.oss-java17;objectos-git
io.github.crac.io.micronaut:micronaut-validation;io.github.crac.io.micronaut;micronaut-validation
br.com.objectos.oss-java17:objectos-collections-list;br.com.objectos.oss-java17;objectos-collections-list
br.com.objectos.oss-java17:objectos-core-io;br.com.objectos.oss-java17;objectos-core-io
br.com.objectos.oss-java17:objectos-latest;br.com.objectos.oss-java17;objectos-latest
br.com.objectos.oss-java17:objectos;br.com.objectos.oss-java17;objectos
br.com.objectos.oss-java17:objectos-collections-base;br.com.objectos.oss-java17;objectos-collections-base
br.com.objectos.oss-java17:objectos-fs-watch;br.com.objectos.oss-java17;objectos-fs-watch
io.github.crac.io.micronaut:micronaut-tracing;io.github.crac.io.micronaut;micronaut-tracing
br.com.objectos.oss-java17:objectos-core-runtime;br.com.objectos.oss-java17;objectos-core-runtime
br.com.objectos.oss-java17:objectos-core-string;br.com.objectos.oss-java17;objectos-core-string
io.github.crac.io.micronaut:micronaut-spring;io.github.crac.io.micronaut;micronaut-spring
br.com.objectos.oss-java17:objectos-collections-set;br.com.objectos.oss-java17;objectos-collections-set
br.com.objectos.oss-java17:objectos-concurrent;br.com.objectos.oss-java17;objectos-concurrent
br.com.objectos.oss-java17:objectos-testing-concurrent;br.com.objectos.oss-java17;objectos-testing-concurrent
io.github.crac.io.micronaut:micronaut-session;io.github.crac.io.micronaut;micronaut-session
br.com.objectos.oss-java17:objectos-testing-random;br.com.objectos.oss-java17;objectos-testing-random
io.github.crac.io.micronaut:micronaut-runtime-osx;io.github.crac.io.micronaut;micronaut-runtime-osx
br.com.objectos.oss-java17:objectos-testing-fs;br.com.objectos.oss-java17;objectos-testing-fs
br.com.objectos.oss-java17:objectos-logging;br.com.objectos.oss-java17;objectos-logging
io.github.crac.io.micronaut:micronaut-runtime;io.github.crac.io.micronaut;micronaut-runtime
br.com.objectos.oss-java17:objectos-core-throwable;br.com.objectos.oss-java17;objectos-core-throwable
br.com.objectos.oss-java17:objectos-core-array;br.com.objectos.oss-java17;objectos-core-array
br.com.objectos.oss-java17:objectos-core-service;br.com.objectos.oss-java17;objectos-core-service
io.github.crac.io.micronaut:micronaut-router;io.github.crac.io.micronaut;micronaut-router
br.com.objectos.oss-java17:objectos-core-system;br.com.objectos.oss-java17;objectos-core-system
io.github.crac.io.micronaut:micronaut-multitenancy;io.github.crac.io.micronaut;micronaut-multitenancy
br.com.objectos.oss-java17:objectos-collections-map;br.com.objectos.oss-java17;objectos-collections-map
br.com.objectos.oss-java17:objectos-fs;br.com.objectos.oss-java17;objectos-fs
io.github.crac.io.micronaut:micronaut-messaging;io.github.crac.io.micronaut;micronaut-messaging
br.com.objectos.oss-java17:objectos-testing-logging;br.com.objectos.oss-java17;objectos-testing-logging
io.github.crac.io.micronaut:micronaut-management;io.github.crac.io.micronaut;micronaut-management
br.com.objectos.oss-java17:objectos-core-object;br.com.objectos.oss-java17;objectos-core-object
io.github.crac.io.micronaut:micronaut-jdbc;io.github.crac.io.micronaut;micronaut-jdbc
io.github.crac.io.micronaut:micronaut-inject-java-test;io.github.crac.io.micronaut;micronaut-inject-java-test
io.github.crac.io.micronaut:micronaut-inject-java;io.github.crac.io.micronaut;micronaut-inject-java
io.github.crac.io.micronaut:micronaut-inject-groovy;io.github.crac.io.micronaut;micronaut-inject-groovy
io.github.crac.io.micronaut:micronaut-inject;io.github.crac.io.micronaut;micronaut-inject
io.github.crac.io.micronaut:micronaut-http-server-netty;io.github.crac.io.micronaut;micronaut-http-server-netty
io.github.crac.io.micronaut:micronaut-http-server;io.github.crac.io.micronaut;micronaut-http-server
io.github.crac.io.micronaut:micronaut-http-netty;io.github.crac.io.micronaut;micronaut-http-netty
io.github.crac.io.micronaut:micronaut-http-client;io.github.crac.io.micronaut;micronaut-http-client
io.github.crac.io.micronaut:micronaut-http;io.github.crac.io.micronaut;micronaut-http
io.github.crac.io.micronaut:micronaut-graal;io.github.crac.io.micronaut;micronaut-graal
io.github.crac.io.micronaut:micronaut-function-web;io.github.crac.io.micronaut;micronaut-function-web
io.github.crac.io.micronaut:micronaut-function-client;io.github.crac.io.micronaut;micronaut-function-client
io.github.crac.io.micronaut:micronaut-function;io.github.crac.io.micronaut;micronaut-function
br.com.objectos.oss-java11:objectos-core-string;br.com.objectos.oss-java11;objectos-core-string
br.com.objectos.oss-java11:objectos-collections-list;br.com.objectos.oss-java11;objectos-collections-list
br.com.objectos.oss-java11:objectos-collections-set;br.com.objectos.oss-java11;objectos-collections-set
br.com.objectos.oss-java11:objectos-git;br.com.objectos.oss-java11;objectos-git
br.com.objectos.oss-java11:objectos-testing-random;br.com.objectos.oss-java11;objectos-testing-random
io.github.crac.io.micronaut:micronaut-discovery-client;io.github.crac.io.micronaut;micronaut-discovery-client
br.com.objectos.oss-java11:objectos-core-system;br.com.objectos.oss-java11;objectos-core-system
br.com.objectos.oss-java11:objectos-core-object;br.com.objectos.oss-java11;objectos-core-object
br.com.objectos.oss-java11:objectos-fs;br.com.objectos.oss-java11;objectos-fs
br.com.objectos.oss-java11:objectos-testing-concurrent;br.com.objectos.oss-java11;objectos-testing-concurrent
br.com.objectos.oss-java11:objectos-core-throwable;br.com.objectos.oss-java11;objectos-core-throwable
br.com.objectos.oss-java11:objectos-testing-fs;br.com.objectos.oss-java11;objectos-testing-fs
io.github.crac.io.micronaut:micronaut-core;io.github.crac.io.micronaut;micronaut-core
br.com.objectos.oss-java11:objectos-fs-watch;br.com.objectos.oss-java11;objectos-fs-watch
br.com.objectos.oss-java11:objectos-core-array;br.com.objectos.oss-java11;objectos-core-array
io.github.crac.io.micronaut:micronaut-cli;io.github.crac.io.micronaut;micronaut-cli
br.com.objectos.oss-java11:objectos-logging;br.com.objectos.oss-java11;objectos-logging
br.com.objectos.oss-java11:objectos-testing-logging;br.com.objectos.oss-java11;objectos-testing-logging
br.com.objectos.oss-java11:objectos;br.com.objectos.oss-java11;objectos
br.com.objectos.oss-java11:objectos-core-runtime;br.com.objectos.oss-java11;objectos-core-runtime
br.com.objectos.oss-java11:objectos-core-service;br.com.objectos.oss-java11;objectos-core-service
io.github.crac.io.micronaut:micronaut-buffer-netty;io.github.crac.io.micronaut;micronaut-buffer-netty
io.github.crac.io.micronaut:micronaut-bom;io.github.crac.io.micronaut;micronaut-bom
io.github.crac.io.micronaut:micronaut-aop;io.github.crac.io.micronaut;micronaut-aop
br.com.objectos.oss-java11:objectos-collections-base;br.com.objectos.oss-java11;objectos-collections-base
br.com.objectos.oss-java11:objectos-collections-map;br.com.objectos.oss-java11;objectos-collections-map
br.com.objectos.oss-java11:objectos-core-io;br.com.objectos.oss-java11;objectos-core-io
br.com.objectos.oss-java11:objectos-latest;br.com.objectos.oss-java11;objectos-latest
br.com.objectos.oss-java11:objectos-concurrent;br.com.objectos.oss-java11;objectos-concurrent
br.com.objectos.oss-java8:objectos-testing-concurrent;br.com.objectos.oss-java8;objectos-testing-concurrent
br.com.objectos.oss-java8:objectos-collections-list;br.com.objectos.oss-java8;objectos-collections-list
